meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1219,9161,24,5,2023-09-16T13:08:50.988000+00:00,27.491,39.719,26.605,308,278,False,114.523,"[None, 2048, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2049, 2048, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2049, 2049, 2049, 2049, 0]",297
1219,9161,10,2,2023-09-16T13:08:59.331000+00:00,27.26,39.321,26.073,306,277,False,92.654,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2051, 2049, 2048]",299
1219,9161,14,3,2023-09-16T13:09:11.519000+00:00,27.149,39.243,26.192,309,276,False,92.584,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",299
1219,9161,4,5,2023-09-16T13:09:17.222000+00:00,27.087,39.334,26.062,310,278,False,103.99,"[2051, 2048, 2049, 2048, 2051, 2049, 2051, 2049]","[2048, 2049, 2049, 2049, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2049, 2051, 2049, 2049, 2049]",302
1219,9161,1,5,2023-09-16T13:09:26.581000+00:00,27.144,39.064,26.19,310,277,False,108.444,"[2049, 2048, 2049, 2048, 2049, 2051, 2049, 2049]","[2051, 2049, 2049, 2048, 2049, 2048, 2049, 2048]","[2048, 2049, 2049, 2049, 2049, 2048, 2048, 2048]",301
1219,9161,40,5,2023-09-16T13:09:31.284000+00:00,27.363,39.076,26.285,308,276,False,115.084,"[2048, 2049, 2049, 2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2049, 0]",298
1219,9161,31,3,2023-09-16T13:09:34.581000+00:00,35.303,52.932,41.354,155,148,False,129.589,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",283
1219,9161,11,5,2023-09-16T13:09:36.190000+00:00,27.311,39.041,78.802,310,278,False,109.539,"[2049, 2048, 2049, 2048, 2049, 2049, 2048, 2049]","[2049, 2048, 2048, 2048, 2048, 2049, 2051, 2048]","[2048, 2049, 2048, 2048, 2048, 2064, 2064, 2064]",303
1219,9161,2,6,2023-09-16T13:09:41.424000+00:00,31.533,54.816,38.453,286,213,False,124.802,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",289
1219,9161,18,5,2023-09-16T13:09:43.127000+00:00,27.33,39.549,26.518,311,278,False,115.899,"[2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2048, 2049, 0]",303
1219,9161,23,3,2023-09-16T13:09:49.096000+00:00,34.539,49.082,39.008,271,247,False,122.629,"[2048, 2048, 0, 0, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",286
1219,9161,55,5,2023-09-16T13:09:49.815000+00:00,27.074,39.093,26.172,315,280,False,101.377,"[None, 2048, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2048, 2049, 2049, 2049, 2051, 2048, 2048]","[2048, 2049, 2049, 2049, 2048, 2049, 2049, 0]",302
1219,9161,81,5,2023-09-16T13:09:55.080000+00:00,27.161,39.509,37.329,311,279,False,103.999,"[2049, 2049, 2048, 2048, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[0, 0, 0, 0, 0, 0, 0, 0]",301
1219,9161,22,3,2023-09-16T13:09:56.627000+00:00,38.582,44.236,38.599,259,245,False,121.417,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",277
1219,9161,16,5,2023-09-16T13:10:00.877000+00:00,27.052,39.068,26.286,314,281,False,104.297,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2051, 2048, 2048, 2049, 2049]","[2048, 2051, 2049, 2048, 2048, 2048, 2049, 0]",303
1219,9161,27,6,2023-09-16T13:10:03.846000+00:00,30.434,43.71,37.069,278,252,False,111.213,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",291
1219,9161,20,6,2023-09-16T13:10:13.002000+00:00,31.511,45.65,72.203,264,246,False,149.364,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",296
1219,9161,77,6,2023-09-16T13:10:19.455000+00:00,31.42,44.495,39.881,273,237,False,115.796,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",234
1219,9161,24,6,2023-09-16T13:10:24.720000+00:00,33.489,45.555,38.723,258,247,False,117.767,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",242
